,"Basic info","Some basic information about the space",Text description of space,Who can use the space?,Type of space,In library,Street address,Floor,Decimal GPS coordinates (lattitude) eg 52.197949,Decimal GPS coordinates (longitude) eg 0.122951,Opening hours ,Access restrictions,Description of access restriction,Disabled access,Website URL,Phone number,Twitter,Facebook page,"Atmosphere","This section is about the atmosphere of the space. Students select different atmosphere's for their different moods and different tasks.",Would you describe the atmosphere of this space as… (place a X in all that apply),Disciplined?,Relaxed or informal?,Historic?,Modern?,Inspiring or thought provoking?,Cosy?,Social?,Friendly or welcoming?,,Which best describes the typical noise level in this space?,Strictly silent,Whispers,Background chatter,Animated discussion,Music playing,"Features & facilities","This sections is about the features of the space and the facilities available. At different times students need different facilities and features from working spaces.Place a X in all that apply.",Food & drink allowed,Natural daylight,Attractive views out of the window,Large desks,Free Wifi,No WiFi,Computers,Laptops allowed,Plug sockets,Phone signal,Printers and copiers,Whiteboards,Projector,Outdoor seating,Bookable,Toilets nearby,Close to refreshments,Close to a place to take a break,,"If this is a café, restaurant or bar how expensive is it?(1 = cheap, 5 = expensive)",,Is this space suitable for people who wish to work...,...in private?,...close to others?,...alongside friends?,...in a group?,,"Tagging","Finally type some tags below that might be used to describe this space. Try to choose tags that are distinct from the questions above. Please list them in a single field, separated by a comma.",Tags
"Enter space name below e.g. first floor west, the red bean bags or relaxed reading space ",ASNC desks,,"Located at the top of the library by the ASNC collection, this has several study spaces, computers and a B&W printer. Often used by ASNC students to save them carrying the heavy books too far.",Members of the University,Library space,English Faculty Library,"9 West Road, Cambridge, CB3 9DP",,52.202251,0.108416,Varies,no,,yes,http://lib.english.cam.ac.uk/,01223 335077,@eflcam,https://www.facebook.com/pages/English-Faculty-Library-University-of-Cambridge/28041366487?fref=ts,,,,x,x,,x,x,,,x,,Whispers,,x,,,,,,x,x,,x,x,,x,x,x,x,x,,,,,x,x,x,,2,,,yes,yes,yes,no,,,,"ASNC books, subject experts, computing facilities, printing facilities"
"Enter space name below e.g. first floor west, the red bean bags or relaxed reading space ",Balcony desks,,"Located on the first floor, with individual study carrels, and a good view of those working on the floor below.",Members of the University,Library space,English Faculty Library,"9 West Road, Cambridge, CB3 9DP",First,52.202251,0.108416,Varies,no,,no,http://lib.english.cam.ac.uk/,01223 335077,@eflcam,https://www.facebook.com/pages/English-Faculty-Library-University-of-Cambridge/28041366487?fref=ts,,,,x,x,,x,,,,,x,Whispers,,x,,,,,,x,x,,,x,,x,x,x,x,,,,,,x,x,x,,2,,,yes,yes,yes,no,,,,"individual desks, near books, subject experts"
"Enter space name below e.g. first floor west, the red bean bags or relaxed reading space ",Newman's Corner,,"Our comfy seating area, with armchairs and beanbags and often a jigsaw or two, this is a super place to relax and get some reading done.",Members of the University,Library space,English Faculty Library,"9 West Road, Cambridge, CB3 9DP",,52.202251,0.108416,Varies,no,,yes,http://lib.english.cam.ac.uk/,01223 335077,@eflcam,https://www.facebook.com/pages/English-Faculty-Library-University-of-Cambridge/28041366487?fref=ts,,,,,x,,x,x,x,,x,,Background chatter,,,x,,,,,x,x,x,,x,,,x,x,,,,,,,x,x,x,,2,,,yes,yes,yes,no,,,,"beanbags, comfy seating, near books, subject experts"
,Ground floor windows,,"Probably the main study area of the library, on the ground floor just as you come into the library. Lots of large desks, people nearby, and easy access to lots of the books.",Members of the University,Library space,English Faculty Library,"9 West Road, Cambridge, CB3 9DP",Ground,52.202251,0.108416,Varies,no,,yes,http://lib.english.cam.ac.uk/,01223 335077,@eflcam,https://www.facebook.com/pages/English-Faculty-Library-University-of-Cambridge/28041366487?fref=ts,,,,x,x,,x,x,,,x,,Whispers,,x,,,,,,x,x,x,x,x,,,x,x,,,,,,,x,x,x,,2,,,yes,yes,yes,no,,,,"light, airy, big tables, near books, subject experts, noise"
,Ground floor side desks,,"On the ground floor, and with views of the History Faculty, these desks are quieter and slightly more secluded than the open desks on the other side of the floor.",Anyone (public),Library space,English Faculty Library,"9 West Road, Cambridge, CB3 9DP",Ground,52.202251,0.108416,Varies,no,,yes,http://lib.english.cam.ac.uk/,01223 335077,@eflcam,https://www.facebook.com/pages/English-Faculty-Library-University-of-Cambridge/28041366487?fref=ts,,,,x,x,,x,x,,,x,,Whispers,,x,,,,,,x,x,,x,x,,,x,x,,,,,,,x,x,x,,2,,,yes,yes,yes,no,,,,"big tables, near books, subject experts, noise"
,Lower Ground Floor,,,Members of the University,Library space,Education Faculty Library,"184 Hills Road, Cambridge, CB2 8PQ",Lower Ground,52.18666667,0.1369444444,Varies,yes,DMB has access restrictions where Library is located; card controlled; Faculty Reception staff on duty during office hours,yes,http://www.educ.cam.ac.uk/library/,01223 767700,@edfaclib,https://www.facebook.com/pages/Education-Faculty-Library-University-of-Cambridge/638858689457909?fref=ts,,,,,,,x,x,,,x,,Whispers,,x,,,,,,,x,x,x,x,,x,x,x,x,x,,,,,x,x,x,,,,,,,,,,,,"light, attractive views, near books, noise, bottled water only, no bags, subject experts"
,Lily Pad 1,,,Members of the University,Library space,Education Faculty Library,"184 Hills Road, Cambridge, CB2 8PQ",,52.18666667,0.1369444444,Varies,yes,DMB has access restrictions where Library is located; card controlled; Faculty Reception staff on duty during office hours,yes,http://www.educ.cam.ac.uk/library/,01223 767700,@edfaclib,https://www.facebook.com/pages/Education-Faculty-Library-University-of-Cambridge/638858689457909?fref=ts,,,,,,,x,x,x,x,x,,Whispers,,x,,,,,,,x,,x,x,,,x,x,x,,,,,,x,x,x,,,,,,,,,,,,"cosy, bottled water only, no bags, subject experts"
,Lily Pad 2,,,Members of the University,Library space,Education Faculty Library,"184 Hills Road, Cambridge, CB2 8PQ",,52.18666667,0.1369444444,Varies,yes,DMB has access restrictions where Library is located; card controlled; Faculty Reception staff on duty during office hours,yes,http://www.educ.cam.ac.uk/library/,01223 767700,@edfaclib,https://www.facebook.com/pages/Education-Faculty-Library-University-of-Cambridge/638858689457909?fref=ts,,,,,,,x,x,,,x,,Whispers,,x,,,,,,,x,x,x,x,,,x,x,x,,,,,,x,x,x,,,,,,,,,,,,"light, attractive views, noise, bottled water only, no bags, subject experts"
 ,IT Training Suite,,A bookable group study room for about twelve people with laptops and projector by request.,Members of the University,Library space,English Faculty Library,"184 Hills Road, Cambridge, CB2 8PQ",,52.202251,0.108416,Varies,no,,yes,http://lib.english.cam.ac.uk/,01223 335077,@eflcam,https://www.facebook.com/pages/English-Faculty-Library-University-of-Cambridge/28041366487?fref=ts,,,,,x,x, ,x, ,, ,,Background chatter,,,x,,,,, ,x, ,x,x,,,x,x,x,,,x,,x,x,x,x,,2,,,yes,yes,yes,yes,,,,"bookable, laptops, projectors, group study room, no food or drink allowed"
,Arc Cafe,,Food and drink in the Alison Richard Building on the Sidgwick site,Anyone (public),Café,,"7 West Road, Cambridge, CB3 9DP",Ground,52.2027052,0.1078135,09:00-16:00,no,,yes,http://www.unicen.cam.ac.uk/food-and-drink/places-eat/out-university-centre/arc-cafe-alison-richard-building,,,,,,,,x,,x,,,x,x,,Animated discussion,,,,,,,,x ,x ,x,,x,,,x,x,x,,,,x,,x,x,x,,2,,,no,yes,yes,yes,,,,"food and drink, sidgwick site, hot meals, busy, noise"
,"The Buttery, Sidgwick Site",,Food and drink (including pastries) on the Sigdwick site,Anyone (public),Café,,"Sidgwick Avenue, Cambridge, CB3 9DD",Ground,52.2003923,0.1095548,08:30-16:00,no,,yes,http://www.unicen.cam.ac.uk/food-and-drink/places-eat/out-university-centre/buttery-sidgwick-site,,,,,,,,x,,,,,x,x,,Music playing,,,,,,,,x,x,,,x,,,x,,,,,,x,,,x,x,,1,,,no,yes,yes,yes,,,,"food and drink, sidgwick site, pastries, cheap coffee, small, busy"
,Faculty of Law Cafe,,A 'delicafe' located in the Faculty of Law.,Members of the University,Café,,"10 West Road, Cambridge, CB3 9DZ",Basement,52.2027052,0.1078135,,no,,yes,http://www.unicen.cam.ac.uk/food-and-drink/places-eat/out-university-centre/faculty-law-0,,,,,,,,x,,x,,,x,,,Background chatter,,,,,,,,x,,,,,,,x,,,,,,,,x,x,x,,1,,,no,yes,yes,yes,,,,"food and drink, cheap coffee"
,Red Bull,,Comfy Newnham pub,Anyone (public),Bar,,"11 Barton Road, Cambridge",Ground,52.1963547,0.1054593,11:00-23:00,no,,yes,,,,https://www.facebook.com/redbullnewnham,,,,,x,x,,,x,x,,,Music playing,,,,,,,,x,,,,x,,,x,,x,,,,x,,x,x,x,,2,,,no,yes,yes,no,,,,"noise, busy, food and drink"
,Cambridge Judge Business School Cafe,,"Situated on the first floor of Cambridge Judge Business School, this cafe offers hot and cold drinks, as well as sandwiches and snacks. An open and light space, it offers tables for working in groups, or alone, as well as some comfy sofa seating.",Members of the University,Café,,"Cambridge Judge Business School, Trumpington Street, Cambridge, CB2 1AG",First,52.199512,0.121815,08.30-16.30 (Monday-Friday),no,,yes,http://www.unicen.cam.ac.uk/food-and-drink/places-eat/out-university-centre/cafe-judge-business-school,,,,,,,,x,,x,x,,x,x,,Animated discussion,,,,,,,,x,x,x,,x,,,x,x,x,,,,,,x,x,x,,2,,,yes,yes,yes,yes,,,,"food and drink, noise, busy, coffee, snacks, light, group work, comfy seating, sofas, toilets, disabled access, modern, wifi"
,Information Centre - Ground Floor,,"Situated on the ground floor of the Cambridge Judge Business School, the ground floor space has desks for solo work, a large table for silent group work, as well as dedicated Bloomberg terminals.",Members of the University,Library space,Cambridge Judge Business School Information Centre,"Cambridge Judge Business School, Trumpington Street, Cambridge, CB2 1AG",Ground,52.199512,0.121815,24/7 card access for School members. Other access only during staffed hours: 08:45-18:00 (Monday-Friday term time); 09:00-17:00 (Monday-Friday vacation time),yes,Members of the University only. Others by prior arrangement.,yes,http://www.jbs.cam.ac.uk/infolib,01223 339599,@CJBSInfoLib,https://www.facebook.com/pages/Cambridge-Judge-Business-School-Information-and-Library-Services/25664826431,,,,x,x,,x,x,,,x,,Whispers,,,,,,,,x,x,,x,x,,x,x,x,x,x,,,,,x,x,x,,,,,yes,yes,yes,yes,,,,"quiet, warm, friendly, modern, light, silent group work, sofa, toilets, disabled access, wifi, Bloomberg, computing facilities, printing facilities, food and drink allowed"
,Information Centre - Mezzanine,,"Situated on the mezzanine floor of the Cambridge Judge Business School, the mezzanine space has desks for solo work as well as PCs.",Members of the University,Library space,Cambridge Judge Business School Information Centre,"Cambridge Judge Business School, Trumpington Street, Cambridge, CB2 1AG",Mezzanine,52.199512,0.121815,24/7 card access for School members. Other access only during staffed hours: 08:45-18:00 (Monday-Friday term time); 09:00-17:00 (Monday-Friday vacation time),yes,Members of the University only. Others by prior arrangement. Mezzanine entrance swipe card access only.,yes,http://www.jbs.cam.ac.uk/infolib,01223 339599,@CJBSInfoLib,https://www.facebook.com/pages/Cambridge-Judge-Business-School-Information-and-Library-Services/25664826431,,,,x,x,,x,x,,,x,,Whispers,,,,,,,,x,x,,,x,,x,x,x,x,x,,,,,x,x,x,,,,,yes,yes,yes,no,,,,"quiet, warm, friendly, modern, light, silent solo work, toilets, disabled access, wifi, computing facilities, printing facilities, food and drink allowed"
,Maths Cafe,,"Based at the Centre for Mathematical Sciences near the Moore Library, this is a great base for solo and group study. ",Members of the University,Café,,"Wilberforce Road, Cambridge CB3 0WA","
",52.210104,0.101892,09:00-16:30 (Monday-Friday),no,,yes,http://www.unicen.cam.ac.uk/food-and-drink/places-eat/out-university-centre/centre-mathematical-sciences,,,,,,,,y,,y,y,y,y,y,,Animated discussion,,,,,,,,x,x,x,x,x,,,x,,x,,,,,,x,,,,2,,,no,yes,no,yes,,,,
,West Café,,"The Cafe at the Hauser Forumin West Cambridge is privately run and serves Costa Coffee. It gets pretty busy at lunch, and they are most likey to enforce the buying their food and drink when using their space rule.",Anyone (public),Café,,"Hauser Forum, 3 Charles Babbage Rd, Cambridge, CB3 0GT",,52.208812,0.089555,08:00-17:00 (Monday-Friday); 10:00-15:00 (Saturday),no,,yes,http://www.unicen.cam.ac.uk/food-and-drink/places-eat/out-university-centre/west-cafe,01223 746 800,,,,,,,x,,x,,,x,x,,Animated discussion,,,,,,,,x,x,x,,x,,,x,,x,,,,x,,x,,,,3,,,no,yes,yes,yes,,,,"lovely food, busy"
,The Cafe,,"Bright and airy space in the computer lab, in non busy times you should be able to sit and work without having to keep buying coffee.",Members of the University,Café,,"William Gates Building, JJ Thompson Avenue, Cambridge CB3 0FD",Ground,52.211094,0.091794,08:30-16:00 (Monday-Friday),no,,yes,http://www.unicen.cam.ac.uk/food-and-drink/places-eat/out-university-centre/computer-laboratory-cafe-william-gates-building,,,,,,,,x,,x,,,x,x,,Background chatter,,,,,,,,x,x ,,x,x,,,x,,x,,,,x,,x,,,,2,,,no,yes,yes,yes,,,,bottled water only
,Fitzbillies,,"Fitzbillies is a bit of a Cambridge institution and is well-known for their chelsea buns. A good, vibrant cafe to work in. Very popular first thing in the morning for people looking to get a coffee and do some work. Has excellent wifi.",Anyone (public),Café,,"Trumpington Street, Cambridge, Cambs, CB2 1RG",,52.202071,0.118074,"08:00-18:00 (Monday-Wednesday); 08:00-23:00 (Thursday-Friday); 10:00-23:00 (Saturday); 10:00-18:00 (Sunday). Closed between 17:30-18:00 on Thursday, Friday and Saturdays.",no,,yes,http://www.fitzbillies.com/,01223 352500,@fitzbillies,https://www.facebook.com/pages/Fitzbillies/110779695673229?rf=118377978215800,,,,,x,,x,,x,x,x,,Background chatter,,,,,,,,x,x,,,x,,,x,x,,,,,,,x,x,x,,3,,,yes,yes,yes,yes,,,,"busy, cosy, coffee, cake, light, wifi, food and drink, friendly, no phone signal"
,Grads Cafe,,Open space with lots of natural light from the huge windows that make up two of the walls. Mixed seating from tables to comfy chairs makes this a good place to study.,Members of the University,Café,,"The University Centre, Granta Place, Cambridge, CB2 1RU",Third,52.201127,0.116217,09:00-21:00 (Monday-Sunday),no,,yes,http://www.unicen.cam.ac.uk/food-and-drink/places-eat/within-university-centre/grads-cafe,,,,,,,,x,,x,x,x,x,x,,Music playing,,,,,,,,x,x,x,,x,,,x,x,x,,,,,,x,x,x,,2,,,yes,yes,yes,yes,,,,"open, light, attractive views, food and drink, comfy, warm, music"
,The Anchor,,Centrally-located pub with views over the River Cam. Good spot for a pint while getting some work done.,Anyone (public),Bar,,"Silver Street, Cambridge, CB3 9EL",,52.201976,0.115763,11:30-23:00 (Monday-Thursday); 11:30-00:00 (Friday-Saturday); 12:00-22:30 (Sunday),no,,yes,http://www.metropolitanpubcompany.com/our-pubs/the-anchor/,01223 353554,@anchorcambridge,,,,,,x,x,,,x,x,x,,Music playing,,,,,,,,x,x,x,,x,,,x,x,x,,,,x,,x,x,x,,2,,,yes,yes,yes,yes,,,,"attractive views, food and drink, wifi, comfy, pub, warm, music"
,The Copper Kettle,,"Situated directly opposite King's College, The Copper Kettle is the perfect place to sit and watch the world go by. With huge windows looking out onto King's Parade, you can people watch while getting some work done.",Anyone (public),Restaurant,,"4 King's Parade, Cambridge, CB2 1SJ",,52.204028,0.117738,08:00-23:00 (daily),no,,no,http://thecopperkettle.weebly.com/,01223 308448,@CopperKettleCam,https://www.facebook.com/copper.kettlecambridge?fref=nf,,,,,x,x,,x,,x,x,,Background chatter,,,,,,,,x,x,x,,x,,,x,x,x,,,,x,,x,x,x,,4,,,yes,yes,yes,yes,,,,"attractive views, food and drink, wifi, light, warm"
,Indigo Coffee House,,"A small cafe tucked away off of King's Parade with a range of food at cheap prices, ideal for a quick break between lectures. A device-free venue perfect for reading a book. Cash payments only.",Anyone (public),Café,,"8, St Edward's Passage, Cambridge, CB21",,52.204479,0.118129,10:00-18:00 (Monday-Friday); 09:00-18:00 (Saturday); 10:00-17:00 (Sunday),no,,no,,,,https://www.facebook.com/pages/Indigo-Coffee-House/13132328980,,,,,x,x,,x,x,x,x,x,Music playing,,,,,,,,x,,x,,,x,,,,x,,,,x,,x,x,x,,1,,,yes,no,no,no,,,,"device free, quick study, coffee, food and drink, warm, no wifi, cash payment only"
,Benets Cafe,,"A small cafe, with a bonus ice-cream bar, directly opposite King's College Chapel. Good to study in but do buy regular drinks to avoid being asked to leave.",Anyone (public),Café,,"21, King's Parade, Cambridge, CB2 1SP",,52.204979,0.117845,08:30-22:00 (daily),no,,no,https://plus.google.com/104830534335234164556/about?gl=uk&hl=en,01223 329068,,,,,,x,,,,,,x,x,,Background chatter,,,,,,,,x,x,x,,,x,,x,,x,,,,x,,x,x,x,,3,,,yes,no,no,no,,,,"coffee, food and drink, warm, no wifi, central"
,Hot Numbers Coffee,,"This independent medium sized cafe is opposite Enginneering and close to the Judge and Fitzwilliam Museum. It is pretty popular so is often busy, sells pretty nice food and coffee and drinks for the evening.",Anyone (public),Café,,"4 Trumpington Street, Cambridge, CB2 1QA",,52.198552,0.12186, 07:00-19:00 (Monday-Friday); 07:30-18:00 (Saturday); 08:00-18:00 (Sunday),no,Step to front door,no,http://hotnumberscoffee.co.uk/,01223 300730,@hotnumbers,https://www.facebook.com/HotNumbersCoffee,,,,,x,,x,,"
",x,x,,Music playing,,,,,,,,x,x,,,x,,,x,,x,,,,x,,,,,,3,,,yes,yes,yes,no,,,,"coffee, central"
,Crepe Affaire,,"Fairly new to Cambridge, this Crepe house is pretty popular at the weekend. Suprisingly warm the day we visited (nothing to do with the weather outside) but not too bad for working in a small group",Anyone (public),Café,,"66 Bridge Street, Cambridge CB2 1UR","
",52.208214,0.118527,08:00-20:00 (Monday-Friday); 09:00-20:00 (Saturday-Sunday),no,,yes,http://www.crepeaffaire.com/uk/,01223 362662,@crepeaffaire,https://www.facebook.com/crepeaffaire,,,,,x,,,,x,x,x,,Music playing,,,,,,,,x,x,,,x,,,x,,x,,,,,,x,,,,3,,,no,yes,yes,yes,,,,"coffee, people watching"
,Le Patissier,,Cosy daytime cafe in a touristy location.,Anyone (public),Café,,"11 St Johns St, Cambridge CB2 1TW",,52.208051,0.118237,,no,,yes,,01223 568336,,,,,,x,,,,,x,x,x,,Background chatter,,,,,,,,x,,,,x,,,x,,x,,,,x,,x,,,,3,,,no,yes,yes,no,,,,"coffee, cakes, people watching, tourists"
,Cafe Nero,,"In a busy location, this is usually quite full of tourist in the summer.",Anyone (public),Café,,"Cambridge Kings Parade, 17 Kings Parade Cambridge, CB2 1SP","
",52.204851,0.117866,07:00-19:00 (Monday-Friday); 07:00-19:30 (Saturday); 07:30-19:30 (Sunday & Bank Holidays),no,,no,http://www.caffenero.co.uk/default.aspx,01223 327 789,,https://www.facebook.com/caffenero,,,,,x,,,x the view is,x,x,x,,Music playing,,,,,,,,x,,x,,x,,,x,,x,,,,x,,x,,,,3,,,no,yes,yes,no,,,,"coffee, people watching, tourists"
,"Trockel, Ulmann & Freunde",,"Cosy German cafe, famous for it's soups. Central, but a little off the beaten track. ",Anyone (public),Café,,"13 Pembroke Street, Cambridge CB2 3QY",,52.202379,0.119197, 09:00-17:00 (Monday-Friday); 10:00-17:00 (Saturday-Sunday),no,,no,,01223 460923,,,,,,,x,,,,x,x,x,,Background chatter,,,,,,,,x,,,,x,,,x,,x,,,,,,x,,,,3,,,yes,yes,yes,no,,,,"coffee, soup"
,Stickybeaks,,"Hip and busy cafe in the centre of Cambridge with good coffee, good food and cosy seating.",Anyone (public),Café,,"42 Hobson St
Cambridge CB1 3NL",,52.206968,0.121439,08:00-17:30 (Monday-Friday); 09:00-17:30 (Saturday); 10:00-17:00 (Sunday),no,,no,http://www.stickybeakscafe.co.uk/,01223 359397,@stickybeakscafe,,,,,,x,,x,x,x,x,x,,Animated discussion,,,,,,,,x,x,,,x,,,x,,x,,,,x,,x,x,x,,4,,,no,yes,yes,yes,,,,"coffee, cakes, trendy, gluten free, vegetarian, gender neutral toilet, busy, central, small, lunchtime rush"
,Afternoon Tease,,"Cute, cosy independent cafe off the beaten track serving coffee, tea, homemade cakes, brunch and lunch.",Anyone (public),Café,,"13 King Street, Cambridge, CB1 1LH",,52.207402,0.122837,08:00-18:00 (Tuesday-Friday); 09:00-17:00 (Saturday); 10:00-17:00 (Sunday),no,,yes,http://afternoontease.co.uk/,,@afternoontease,https://www.facebook.com/AfternoonTeaseCafe,,,,,x,,x,,x,x,x,,Background chatter,,,,,,,,x,x,,,x,,,x,x,x,,,,x,,x,x,x,,3,,,no,yes,yes,no,,,,"coffee, cakes, trendy, vegetarian, gender neutral toilet, busy, small, central, lunchtime rush"
,Tatties,,A Cambridge institution! A cafe with plenty of seating including outdoor tables.,Anyone (public),Café,,"11 Sussex St, Hobson St, Cambridge CB1 1PA",,52.206904,0.121241,08:00-18:00 (Monday-Friday); 08:00-19:00 (Saturday); 09:00-18:00 (Sunday),no,,no,,,,,,,,,x,,,,,x,,,Animated discussion,,,,,,,,x,x,,,x,,,x,,x,,,,x,,x,x,x,,2,,,no,yes,yes,no,,,,"vegetarian, gluten free, large, noisy"
,Cambridge Brew House,,Pub/microbrewery with a sporty crowd and trendily shabby decor.,Anyone (public),Bar,,"1 King Street
Cambridge CB1 1LH",,52.207403,0.122223,09:00-23:30 (daily),no,,no,http://www.thecambridgebrewhouse.com/, 01223 855185,@TheCamBrewHouse,https://www.facebook.com/TheCambridgeBrewHouse,,,,,x,,,x,x,x,x,,Background chatter,,,,,,,,x,x,,x,x,,,x,x,x,,,,,x,x,x,x,,4,,,no,yes,yes,yes,,,,"pub, spacious, sporty, coffee, tea, beer"
,"The Pint Shop
",,"Pub of the keg, cask and gin variety. Pretty fancy and pricey but a nice environment to work in on a quiet afternoon.",Anyone (public),Bar,,"10 Peas Hill, Cambridge, CB2 3PN","
",52.204183,0.11913,12:00-23:00 (Sunday-Thursday); 12:00-00:00 (Friday-Saturday),no,,yes,http://pintshop.co.uk/,01223 352293,@PintShop,https://www.facebook.com/pages/Pint-Shop/401807443242547,,,,,,,x,,x,x,x,,Animated discussion,,,,,,,,x,,,,,x,,x,,x,,,,x,,x,"
","
",,5,,,no,yes,yes,yes,,,,"beer, scotch eggs"
,2nd View Coffee Shop (Waterstone's Cafe),,Spacious cafe with plenty of plug sockets and varying sizes of tables for all kinds of work.,Anyone (public),Café,," 22 Sidney Street, Cambridge, Cambridgeshire, 
CB2 3HG ",2,52.206349,0.12072,,no,,yes,,01223 366898,,https://www.facebook.com/pages/2nd-View-Coffee-Shop-in-Waterstones/150514884988745,,,,,x,,x,,,x,x,,Background chatter,,,,,,,,x,x,x,x,x,,,x,x,x,,,,,,x,x,x,,2,,,no,yes,yes,yes,,,,"spacious, coffee, tea"
,Espresso Library,,"Trendy cycling cafe with a social and sporty vibe, though often populated by people working on laptops.",Anyone (public),Café,,"210 East Road, Cambridge, Cambridgeshire, CB1 1BG",,52.203136,0.131696,07:00-19:00 (Monday-Saturday); 09:00-18:00 (Sunday),no,,yes,,01223 367333,@EspressoLibrary,https://www.facebook.com/espressolibrary,,,,,x,,x,x,,x,x,,Animated discussion,,,,,,,,x,x,,x,x,,,x,x,x,,,,,,x,x,x,,4,,,no,yes,yes,yes,,,,"independent, sporty, busy, trendy, noise, vegetarian, tea, coffee, brunch, lunch"